videoId,quality_ratio,avg_quality,comments
1287,66.7,0.6416666666666667,6
1291,0.0,0.2865,2
1295,0.0,0.26,1
1301,0.0,0.388,1
1310,0.0,0.335,1
1311,66.7,0.5926666666666667,3
1317,42.9,0.5264285714285715,7
1330,66.7,0.5676666666666667,3
1333,5.0,0.3015777777777778,180
1336,1.0,0.2804554455445545,101
1340,0.0,0.255,1
1344,50.0,0.534,2
1345,50.0,0.46249999999999997,2
1351,0.0,0.329,3
1355,20.0,0.3828,5
1359,0.0,0.318,1
1362,0.0,0.255,1
1368,0.0,0.27149999999999996,2
1369,0.0,0.243,1
1372,0.0,0.225,4
1379,0.0,0.225,1
1383,0.0,0.24,8
1399,20.0,0.3686,5
1400,0.0,0.36,1
1404,1.4,0.28361971830985916,71
1413,0.0,0.29533333333333334,3
1419,100.0,0.7,1
1421,0.0,0.3028571428571429,7
1423,14.3,0.3345714285714286,7
1427,50.0,0.56,2
1428,14.3,0.2902857142857143,7
1434,2.4,0.3126290322580645,124
1436,21.4,0.35275,28
1447,100.0,0.778,1
1450,21.1,0.36976315789473685,76
1452,100.0,0.718,1
1459,0.0,0.2920909090909091,11
1463,0.0,0.3355,4
1464,0.0,0.225,1
1466,0.0,0.225,1
1470,22.6,0.37587096774193546,31
1472,0.0,0.273,1
1478,0.0,0.0,1
1481,13.0,0.33982999999999997,100
1484,3.7,0.33296296296296296,27
1488,100.0,0.7,1
1489,0.0,0.3005,6
1497,0.0,0.225,1
1500,0.0,0.378,1
1502,0.0,0.26725,4
1503,0.0,0.306,3
1505,0.0,0.3,1
1511,0.0,0.225,1
1512,0.0,0.337,3
1515,0.0,0.30374999999999996,4
1525,16.7,0.41016666666666673,12
1527,19.2,0.38634615384615384,26
1539,100.0,0.728,1
1540,0.0,0.24,2
1543,0.0,0.3,1
1548,0.0,0.243,1
1550,0.0,0.255,1
1551,0.0,0.243,1
1557,7.8,0.34937125748502995,167
1560,0.0,0.2986666666666667,3
1566,0.0,0.334875,16
1569,27.8,0.4351173469387755,784
1570,0.0,0.29633333333333334,3
1571,20.0,0.332,5
1579,100.0,0.728,1
1580,0.0,0.3,1
1587,100.0,0.7,1
1589,17.4,0.37095652173913046,23
1590,0.0,0.225,1
1595,0.0,0.2,4
1600,0.0,0.301,8
1620,0.0,0.3,1
1625,0.0,0.225,1
1628,0.0,0.3,1
1629,50.0,0.5215000000000001,2
1633,0.0,0.225,1
1634,50.0,0.5165,2
1638,0.0,0.255,1
1646,0.0,0.25625,4
1648,21.5,0.39739845261121853,517
1649,9.5,0.34295238095238095,21
1652,7.1,0.3284285714285714,14
1654,15.4,0.35092307692307695,26
1659,50.0,0.5015000000000001,2
1661,28.6,0.4289642857142857,56
1668,0.0,0.318,1
1669,0.0,0.255,2
1676,0.0,0.243,2
1681,0.0,0.24100000000000002,3
1683,0.0,0.225,2
1686,0.0,0.195,1
1687,0.0,0.2865,2
1688,0.0,0.27749999999999997,2
1705,0.0,0.225,3
1706,33.3,0.3933333333333333,3
1710,0.0,0.225,1
1713,0.0,0.30825,4
1715,0.0,0.3165,2
1721,0.0,0.225,1
1727,19.8,0.35726126126126123,111
1732,0.0,0.243,1
1739,25.0,0.4555,4
1740,0.0,0.339,1
1741,10.2,0.3061644736842105,608
1754,40.0,0.496,5
1755,33.3,0.41933333333333334,3
1761,0.0,0.335,1
1763,0.0,0.296,3
1764,0.0,0.225,1
1769,2.9,0.3451714285714286,35
1770,0.0,0.318,1
1773,12.8,0.3441167883211679,274
1776,0.0,0.2458285714285714,35
1784,0.0,0.0,1
1785,0.0,0.258,2
1788,0.0,0.30853846153846154,13
1791,6.2,0.3117777777777778,81
1795,0.0,0.255,1
1796,50.0,0.519,2
1806,19.1,0.3837872340425532,94
1825,0.0,0.0,1
1827,0.0,0.29925,8
1829,0.0,0.328,1
1834,100.0,0.718,1
1842,0.0,0.225,3
1852,25.0,0.38125,4
1856,0.0,0.225,1
1857,9.2,0.2969342105263158,76
1868,0.0,0.26185714285714284,7
1876,0.0,0.23880701754385966,57
1880,0.0,0.36,1
1882,0.0,0.269,2
1886,30.8,0.4226153846153846,13
1888,0.0,0.2677826086956522,23
1889,27.8,0.3853333333333333,18
1895,0.0,0.253,1
1897,0.0,0.318,1
1901,0.0,0.378,1
1906,0.0,0.2415,4
1909,0.0,0.243,1
1916,33.3,0.4183333333333333,6
1917,0.0,0.3,1
1920,0.0,0.29025,4
1921,0.0,0.253,3
1922,0.0,0.0,1
1924,0.0,0.225,1
1927,0.0,0.225,1
1928,0.0,0.29233333333333333,6
1929,0.0,0.23800000000000002,6
1931,22.2,0.38422222222222224,18
1933,0.0,0.3,1
1936,50.0,0.5075000000000001,2
1939,20.0,0.35059999999999997,10
1940,0.0,0.3,1
1942,0.0,0.23500000000000001,3
1943,0.0,0.243,1
1946,0.0,0.243,1
1947,0.0,0.232,4
1950,0.0,0.17625000000000002,4
1954,0.0,0.243,1
1956,0.0,0.0,1
1957,0.0,0.225,1
1960,0.0,0.225,1
1963,4.8,0.2709047619047619,21
1967,0.0,0.23399999999999999,2
1973,25.0,0.396875,8
1982,3.4,0.34244827586206894,29
1983,33.3,0.4033333333333333,3
1985,0.0,0.225,1
1986,0.0,0.32999999999999996,2
1987,0.0,0.27749999999999997,2
1989,0.0,0.225,1
1991,0.0,0.255,1
1993,0.0,0.255,1
1994,0.0,0.383,2
2005,0.0,0.225,1
2008,0.0,0.0,1
2016,0.0,0.3,1
2022,0.0,0.255,1
2025,0.0,0.225,2
2026,0.0,0.225,1
2035,0.0,0.236,6
2041,20.0,0.39932,25
2044,100.0,0.76,1
2046,24.7,0.4306872246696036,227
2047,0.0,0.3,1
2050,100.0,0.76,1
2052,0.0,0.2448,10
2053,0.0,0.255,2
2057,0.0,0.26,1
2064,14.6,0.34772916666666664,48
2067,0.0,0.253,1
2072,20.0,0.3356,5
2079,0.0,0.255,1
2094,0.0,0.3,1
2096,0.0,0.231,3
2100,1.6,0.24621640969162997,3632
2101,0.0,0.255,2
2111,100.0,0.76,1
2112,100.0,0.673,1
2113,0.0,0.352,1
2114,0.0,0.36,1
2115,0.4,0.3069137254901961,255
2116,0.0,0.30125,24
2120,29.7,0.4255945945945946,37
2122,16.7,0.4103333333333334,6
2135,0.0,0.293,2
2136,0.0,0.225,1
2145,0.0,0.2475,8
2146,0.0,0.2854,10
2148,0.0,0.2793333333333333,3
2152,4.6,0.27886923076923076,130
2154,0.0,0.26536363636363636,11
2156,0.0,0.1365,2
2160,50.0,0.539,2
2166,0.0,0.225,1
2170,0.0,0.365,1
2172,20.0,0.41859999999999997,5
2173,0.0,0.273,1
2185,0.0,0.337,7
2186,0.0,0.253,1
2188,0.0,0.225,1
2189,0.0,0.2606,5
2194,9.1,0.2839090909090909,11
2196,6.2,0.33490625,32
2200,5.0,0.29675,20
2203,0.0,0.28,13
2217,0.0,0.241,3
2219,22.2,0.3888888888888889,18
2236,0.0,0.28200000000000003,4
2241,0.0,0.3065,8
2244,0.0,0.27775,8
2252,0.0,0.325,3
2260,0.0,0.225,1
2277,0.0,0.225,2
2278,18.2,0.37672727272727274,11
2282,0.0,0.395,1
2286,0.0,0.243,3
2287,0.0,0.255,1
2288,0.0,0.3165,2
2292,0.0,0.255,1
2295,0.0,0.2625,2
2300,0.0,0.2813333333333334,3
2302,0.0,0.273,1
2320,100.0,0.718,1
2323,0.0,0.3015,2
2327,9.1,0.3216363636363636,11
2334,0.0,0.225,1
2339,0.0,0.225,1
2340,0.0,0.245,3
2347,4.3,0.32217391304347825,23
2349,0.0,0.3755,2
2353,0.0,0.225,3
2357,0.0,0.225,1
2359,33.3,0.3793333333333333,3
2362,22.6,0.3933695652173913,230
2364,20.0,0.39740000000000003,10
2370,23.8,0.42363492063492064,63
2380,20.0,0.36360000000000003,5
2391,14.3,0.3912857142857143,7
2396,18.2,0.35959090909090907,22
2398,0.0,0.243,1
2401,8.9,0.3177111111111111,45
2405,0.0,0.311,2
2407,4.3,0.3363913043478261,23
2410,0.0,0.28793548387096773,93
2415,0.0,0.2625,2
2416,20.0,0.3436,5
2420,0.0,0.296,1
2423,12.3,0.3480864197530864,81
2431,0.0,0.25125,4
2434,0.0,0.255,1
2436,0.0,0.225,1
2439,0.0,0.311,3
2442,0.0,0.225,1
2443,0.0,0.328,1
2445,12.5,0.276625,8
2446,16.7,0.389,6
2447,33.3,0.4653333333333334,3
2448,0.0,0.0,1
2449,50.0,0.4955,2
2452,0.0,0.255,1
2454,0.0,0.36,1
2459,0.0,0.225,1
2460,50.0,0.5108125,16
2464,39.1,0.47036231884057966,69
2472,11.8,0.2887058823529412,17
2473,0.0,0.225,1
2474,1.0,0.2674583333333333,96
2477,17.5,0.35489473684210526,57
2480,0.0,0.29033333333333333,3
2482,2.2,0.2546408839779006,181
2492,50.0,0.5135000000000001,4
2493,16.1,0.3690322580645161,31
2500,0.0,0.2715,2
2506,0.0,0.2865,2
2507,0.0,0.25866666666666666,9
2515,0.0,0.301,6
2520,7.9,0.32454065934065934,910
2523,9.5,0.3577142857142857,21
2530,0.0,0.23399999999999999,2
2536,0.0,0.3165,2
2538,0.0,0.225,1
2545,0.0,0.225,1
2550,0.0,0.225,2
2553,0.0,0.225,1
2558,11.8,0.3235394736842105,76
2563,0.0,0.225,1
2566,0.0,0.225,2
2568,0.0,0.388,1
2570,0.0,0.29,3
2571,0.0,0.32499999999999996,2
2573,7.7,0.3107692307692308,13
2577,0.0,0.225,1
2585,0.0,0.225,1
2586,0.0,0.31579999999999997,10
2587,0.0,0.225,3
2588,100.0,0.778,1
2592,0.0,0.225,1
2595,50.0,0.5015000000000001,2
2597,0.0,0.26362962962962966,27
2604,0.0,0.255,1
2605,0.0,0.255,2
2608,0.0,0.255,1
2609,0.0,0.2614444444444445,9
2621,0.0,0.24,2
2635,0.0,0.29525,8
2636,0.0,0.225,1
2637,0.0,0.0,1
2638,50.0,0.56725,4
2640,100.0,0.718,1
2642,8.3,0.31020833333333336,24
2645,0.0,0.24,2
2653,0.0,0.255,1
2657,14.2,0.3109622641509434,106
2658,0.0,0.369,3
2659,0.0,0.243,1
2664,19.4,0.33845161290322584,31
2675,0.0,0.23700000000000002,5
2687,0.0,0.321625,8
2689,0.0,0.2715,2
2693,0.0,0.3,1
2697,6.9,0.3269655172413793,58
2716,0.0,0.243,1
2719,0.0,0.2355,10
2723,6.2,0.30224999999999996,16
2726,100.0,0.655,1
2727,0.0,0.27499999999999997,3
2730,0.0,0.2794,5
2731,0.0,0.2556363636363636,22
2733,0.0,0.225,1
2737,0.0,0.292,3
2742,0.0,0.3,1
2744,0.0,0.335,1
2747,0.0,0.257,3
2749,0.0,0.3,1
2750,0.0,0.27749999999999997,2
2753,0.0,0.36,1
2754,0.0,0.279,4
2755,0.0,0.27114516129032257,62
2758,4.0,0.29988,50
2759,0.0,0.225,1
2766,18.5,0.3869769230769231,130
2768,0.0,0.24,2
2773,50.0,0.539,2
2777,0.0,0.26325,4
2780,0.0,0.36,1
2783,0.0,0.255,1
2792,0.0,0.33899999999999997,4
2793,0.0,0.29,1
2795,0.0,0.2625,2
2797,0.0,0.3,1
2799,0.0,0.27149999999999996,2
2805,0.0,0.252,6
2809,33.3,0.4093333333333333,3
2812,15.4,0.3633846153846154,13
2813,33.3,0.37600000000000006,3
2814,0.0,0.225,2
2819,0.0,0.26033333333333336,3
2822,0.0,0.243,1
2823,50.0,0.5221,10
2824,0.0,0.231,3
2827,20.0,0.34740000000000004,5
2832,0.0,0.225,1
2834,0.0,0.3048076923076923,26
2844,0.0,0.3,1
2847,0.0,0.3363333333333333,3
2852,0.0,0.266,3
2853,0.0,0.3165,2
2856,0.0,0.225,1
2865,0.0,0.32058333333333333,12
2873,0.0,0.2835,4
2891,0.0,0.2625,2
2894,0.0,0.3,1
2895,100.0,0.7,1
2897,9.1,0.2551818181818182,33
2898,0.0,0.273,1
2900,100.0,0.76,1
2902,8.5,0.3404027954256671,787
2904,0.0,0.35233333333333333,6
2905,0.0,0.2865,2
2907,0.0,0.29500000000000004,2
2909,0.0,0.225,2
2913,0.0,0.245,37
2917,0.0,0.3382727272727273,11
2918,25.0,0.403875,8
2922,0.0,0.3,1
2931,0.0,0.225,1
2932,21.2,0.3935949008498583,353
2938,0.0,0.225,1
2945,0.0,0.2492857142857143,7
2947,37.2,0.4572736051502146,1864
2950,0.0,0.33699999999999997,2
2958,0.0,0.2625,2
2959,0.0,0.246,4
2964,0.0,0.3,1
2979,9.1,0.26545454545454544,11
2981,0.0,0.3,1
2988,0.0,0.225,2
2990,5.0,0.2771512605042017,119
2991,15.5,0.3373103448275862,58
2997,0.0,0.3234,5
3002,0.0,0.27275,4
3005,0.0,0.225,1
3007,28.6,0.43142857142857144,7
3008,0.0,0.225,1
3009,0.0,0.243,1
3013,22.1,0.3787981072555205,317
3019,0.0,0.225,1
3021,0.0,0.225,1
3026,0.0,0.255,1
3028,17.4,0.4048260869565217,23
3030,0.0,0.2625,2
3035,0.0,0.225,1
3043,20.0,0.35433333333333333,15
3051,100.0,0.723,2
3056,0.0,0.2575,2
3058,0.0,0.273,1
3063,16.3,0.39466842105263156,190
3065,0.0,0.365,1
3067,0.0,0.255,1
3070,9.7,0.3030967741935484,31
3071,0.0,0.225,1
3082,12.5,0.32225000000000004,8
3090,100.0,0.795,1
3102,0.0,0.39225,4
3109,16.7,0.32566666666666666,6
3113,0.0,0.225,1
3121,0.0,0.253,1
3137,0.0,0.225,1
3141,33.3,0.39866666666666667,3
3147,0.0,0.3,1
3148,0.0,0.23500000000000001,3
3149,6.2,0.31775,16
3150,0.0,0.279625,8
3155,50.0,0.454,2
3160,12.5,0.319625,16
3163,0.0,0.28750000000000003,6
3164,0.0,0.225,1
3168,0.0,0.225,1
3170,0.0,0.243,1
3172,25.9,0.419925925925926,27
3174,0.0,0.255,1
3175,0.0,0.36,1
3176,0.0,0.225,1
3181,0.0,0.2866666666666666,21
3182,33.3,0.36833333333333335,3
3183,0.0,0.255,1
3184,0.0,0.225,1
